ABSENT-LOCAL	modified	.claude/skills/aeon/SKILL.md
ABSENT-LOCAL	modified	.claude/skills/aeon/references/layout.md
ABSENT-LOCAL	modified	.claude/skills/aeon/references/mcp.md
ABSENT-LOCAL	modified	.claude/skills/aeon/references/skill-anatomy.md
CONFLICT-3WAY	modified	.github/README.md
CLEAN-MERGE	modified	.github/workflows/aeon.yml
CLEAN-UPDATE	modified	.github/workflows/chain-runner.yml
CONFLICT-3WAY	modified	.github/workflows/ci-tests.yml
CLEAN-ADD	added	.github/workflows/ci-gate.yml
CONFLICT-3WAY	modified	CHANGELOG.md
CLEAN-UPDATE	modified	apps/dashboard/app/api/mcp-auth/callback/route.ts
CLEAN-MERGE	modified	apps/dashboard/lib/skill-icons.data.ts
CLEAN-UPDATE	modified	apps/mcp-server/src/skill-executor.ts
CLEAN-UPDATE	modified	docs/ECOSYSTEM.md
CONFLICT-3WAY	modified	docs/skill-packs.md
CLEAN-ADD	added	docs/assets/skill-icons/miroshark-matchday.svg
CLEAN-ADD	added	docs/assets/skill-icons/sc-audit.svg
CLEAN-UPDATE	modified	harness-adapter/adapters/codex.sh
CLEAN-UPDATE	modified	plugin/skills/aeon/SKILL.md
CLEAN-UPDATE	modified	plugin/skills/aeon/references/layout.md
CLEAN-UPDATE	modified	plugin/skills/aeon/references/mcp.md
CLEAN-UPDATE	modified	plugin/skills/aeon/references/skill-anatomy.md
CLEAN-UPDATE	modified	scripts/dev-loop-pr.sh
CLEAN-ADD	added	scripts/dev-loop-proof.sh
CLEAN-ADD	added	scripts/dev-loop-repair.sh
CLEAN-UPDATE	modified	scripts/dev-loop-review.sh
CLEAN-UPDATE	modified	scripts/install-harness.sh
CLEAN-UPDATE	modified	scripts/resolve-riva-capabilities.sh
CLEAN-UPDATE	modified	scripts/run-grok.sh
CLEAN-UPDATE	modified	scripts/skill_mode.sh
CLEAN-ADD	added	scripts/stage-sc-audit.sh
CLEAN-UPDATE	modified	scripts/telegram-route.sh
CLEAN-UPDATE	modified	scripts/tests/test_chain_runner_no_action.sh
CLEAN-UPDATE	modified	scripts/tests/test_dev_loop_handoff.sh
CLEAN-ADD	added	scripts/tests/test_dev_loop_proof.sh
CLEAN-ADD	added	scripts/tests/test_dev_loop_repair.sh
CLEAN-UPDATE	modified	scripts/tests/test_dev_loop_review.sh
CLEAN-ADD	added	scripts/tests/test_idea_pipeline_dev_loop_offer.sh
CLEAN-UPDATE	modified	scripts/tests/test_run_grok.sh
CLEAN-UPDATE	modified	scripts/tests/test_telegram_route.sh
CLEAN-UPDATE	modified	skills/aeon-update/SKILL.md
CLEAN-MERGE	modified	skills/changelog/SKILL.md
CLEAN-ADD	added	skills/create-prove/SKILL.md
CLEAN-MERGE	modified	skills/feature/SKILL.md
CONFLICT-3WAY	modified	skills/idea-pipeline/SKILL.md
ABSENT-LOCAL	modified	skills/miroshark-matchday/SKILL.md
CLEAN-ADD	added	skills/sc-audit/SKILL.md
CLEAN-ADD	added	skills/sc-audit/fixtures/README.md
CLEAN-ADD	added	skills/sc-audit/fixtures/vault/foundry.toml
CLEAN-ADD	added	skills/sc-audit/fixtures/vault/src/Vault.sol
CLEAN-ADD	added	skills/sc-audit/references/hook-checklist.md
CONFLICT-3WAY	modified	skills/vuln-scanner/SKILL.md
